x	x			衛星画像	衛星画像
	0.0.1			行政界（市）	行政界（市）
3	0.0.2			行政界（町字）	大字界
4	0.0.4			市道道路網図	高松市_路線
10				区域界_DM	区域界_DM
10				区域名_DM	区域名_DM
1	1.0.01	都市計画情報		都市計画区域界 	都市計画区域界
5	1.0.02	都市計画情報		都市計画基本図	!kihonzu!都市計画基本図
1	1.1.01	都市計画情報	用途地域	第一種低層住居専用地域	第一種低層住居専用地域(100_60)
1	1.1.02	都市計画情報	用途地域	第一種低層住居専用地域	第一種低層住居専用地域(60_40)
1	1.1.03	都市計画情報	用途地域	第一種低層住居専用地域	第一種低層住居専用地域(80_50)
1	1.1.04	都市計画情報	用途地域	第二種低層住居専用地域	第二種低層住居専用地域(100_60)
1	1.1.05	都市計画情報	用途地域	第二種低層住居専用地域	第二種低層住居専用地域(150_60)
1	1.1.06	都市計画情報	用途地域	第一種中高層住居専用地域 	第一種中高層住居専用地域
1	1.1.07	都市計画情報	用途地域	第二種中高層住居専用地域 	第二種中高層住居専用地域
1	1.1.08	都市計画情報	用途地域	第一種住居地域 	第一種住居地域
1	1.1.09	都市計画情報	用途地域	第二種住居地域 	第二種住居地域
1	1.1.10	都市計画情報	用途地域	準住居地域 	準住居地域
1	1.1.11	都市計画情報	用途地域	近隣商業地域	近隣商業地域(200_80)
1	1.1.12	都市計画情報	用途地域	近隣商業地域	近隣商業地域(300_80)
1	1.1.13	都市計画情報	用途地域	商業地域	商業地域(200_80)
1	1.1.14	都市計画情報	用途地域	商業地域	商業地域(300_80)
1	1.1.15	都市計画情報	用途地域	商業地域	商業地域(400_80)
1	1.1.16	都市計画情報	用途地域	商業地域	商業地域(500_80)
1	1.1.17	都市計画情報	用途地域	商業地域	商業地域(600_80)
1	1.1.18	都市計画情報	用途地域	商業地域	商業地域(700_80)
1	1.1.19	都市計画情報	用途地域	商業地域	商業地域(800_80)
1	1.1.20	都市計画情報	用途地域	準工業地域 	準工業地域
1	1.1.21	都市計画情報	用途地域	工業地域 	工業地域
1	1.1.22	都市計画情報	用途地域	工業専用地域 	工業専用地域
1	1.2.09	都市計画情報	特定用途制限地域	一般・環境保全型	一般・環境保全型(森林部)
1	1.2.10	都市計画情報	特定用途制限地域	一般・環境保全型	一般・環境保全型(平地部)
1	1.2.11	都市計画情報	特定用途制限地域	幹線沿道型I型	幹線沿道型I型
1	1.2.12	都市計画情報	特定用途制限地域	幹線沿道型II型	幹線沿道型II型
1	1.4.01	都市計画情報	防火地域等	防火地域 	防火地域
1	1.4.02	都市計画情報	防火地域等	準防火地域 	準防火地域
2	1.4.03	都市計画情報	防火地域等	法22条地域	法22条地域
1	1.5.01	都市計画情報	その他地域地区	特別用途地区 	特別用途地区
1	1.5.02	都市計画情報	その他地域地区	高度利用地域 	高度利用地域
1	1.5.03	都市計画情報	その他地域地区	都市再生特別地区 	都市再生特別地区
1	1.5.04	都市計画情報	その他地域地区	風致地区 	風致地区
1	1.5.05	都市計画情報	その他地域地区	駐車場整備地区 	駐車場整備地区
1	1.5.06	都市計画情報	その他地域地区	駐輪場整備地区 	駐輪場整備地区
1	1.5.07	都市計画情報	その他地域地区	臨港地区 	臨港地区
1	1.5.08	都市計画情報	その他地域地区	用途白地地域 	用途白地地域
1	1.6.1	都市計画情報	都市施設	都市計画道路 	都市計画道路
1	1.6.2	都市計画情報	都市施設	都市高速鉄道 	都市高速鉄道
2	1.6.3	都市計画情報	都市施設	下水	公共下水道(汚水)
2	1.6.4	都市計画情報	都市施設	下水	公共下水道(雨水)
1	1.7.01	都市計画情報	市街地開発事業	市街地再開発事業 	市街地再開発事業
1	1.7.02	都市計画情報	市街地開発事業	土地区画整理事業 	土地区画整理事業
1	1.8.1	都市計画情報		地区計画 	地区計画
2	1.9.1	都市計画情報	立地適正化計画	広域都市機能誘導区域	広域都市機能誘導区域
2	1.9.2	都市計画情報	立地適正化計画	一般都市機能誘導区域	一般都市機能誘導区域
2	1.9.3	都市計画情報	立地適正化計画	学術都市機能誘導区域	学術都市機能誘導区域
2	1.9.4	都市計画情報	立地適正化計画	居住誘導区域	居住誘導区域
2	1.9.5	都市計画情報	立地適正化計画	一般居住区域	一般居住区域
1	2.1.01	施設情報	くらし	AED設置場所	AED設置場所
1	2.1.02	施設情報	くらし	コミュニティセンター	コミュニティセンター
	2.1.03	施設情報	くらし	ごみ分別一覧	ごみ分別一覧
1	2.1.04	施設情報	くらし	ため池一覧	ため池一覧
1	2.1.05	施設情報	くらし	環境施設	環境施設
1	2.1.06	施設情報	くらし	公衆トイレ	公衆トイレ
1	2.1.07	施設情報	くらし	公衆無線LANアクセスポイント	公衆無線LANアクセスポイント
1	2.1.08	施設情報	くらし	斎場	斎場
1	2.1.09	施設情報	くらし	使用済小型家電リサイクルBOX設置場所一覧	使用済小型家電リサイクルBOX設置場所一覧
1	2.1.10	施設情報	くらし	市営住宅	市営住宅
1	2.1.11	施設情報	くらし	市民活動・男女共同参画施設	市民活動・男女共同参画施設
	2.1.12	施設情報	くらし	市民満足度アンケート	市民満足度アンケート
1	2.1.13	施設情報	くらし	指定収集袋取扱店一覧	指定収集袋取扱店一覧
1	2.1.14	施設情報	くらし	地域交流館	地域交流館
1	2.1.15	施設情報	くらし	投票所一覧	投票所一覧
1	2.1.16	施設情報	くらし	墓地	墓地
	2.2.01	施設情報	観光・産業	イベント一覧	イベント一覧
1	2.2.02	施設情報	観光・産業	観光施設	観光施設
1	2.2.03	施設情報	観光・産業	市場	市場
1	2.2.04	施設情報	観光・産業	食肉センターなど	食肉センターなど
1	2.2.05	施設情報	観光・産業	農業施設一覧	農業施設一覧
